epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.2416,0.95493,1.53395,1.06381,0.70339,0.76031,0.77704,0.5662,0.89588,0.95316,0.95879,0.00332826,0.00332826,0.00332826
2,163.627,0.90298,0.9906,1.0013,0.7925,0.77722,0.8238,0.58997,0.94092,0.88138,0.95113,0.00666086,0.00666086,0.00666086
3,240.509,1.00621,1.04426,1.03692,0.60245,0.75302,0.69945,0.49102,1.04511,1.13885,1.03655,0.00999054,0.00999054,0.00999054
4,316.348,1.04339,1.08367,1.05968,0.66679,0.79195,0.80187,0.59318,0.9595,0.96451,0.98594,0.00999013,0.00999013,0.00999013
5,393.033,0.9708,0.97701,1.03572,0.70586,0.78624,0.78754,0.56725,0.92521,0.90623,0.96905,0.00998246,0.00998246,0.00998246
6,470.29,0.91,0.88346,1.01343,0.74004,0.83484,0.85889,0.6807,0.80679,0.8271,0.94947,0.00997261,0.00997261,0.00997261
7,553.27,0.88416,0.82796,0.99144,0.77735,0.84937,0.85291,0.62346,0.89675,0.75317,0.93643,0.00996057,0.00996057,0.00996057
8,635.406,0.83969,0.76648,0.97211,0.8054,0.82526,0.85765,0.64092,0.86461,0.75769,0.9169,0.00994636,0.00994636,0.00994636
9,712.501,0.81171,0.73338,0.96228,0.83273,0.84821,0.87653,0.68726,0.80122,0.72175,0.90913,0.00992998,0.00992998,0.00992998
10,789.24,0.7664,0.68954,0.95187,0.81,0.85467,0.88044,0.69556,0.76378,0.68583,0.90545,0.00991144,0.00991144,0.00991144
11,865.996,0.74864,0.66734,0.94255,0.86108,0.89896,0.90104,0.73133,0.706,0.66947,0.89836,0.00989074,0.00989074,0.00989074
12,942.994,0.72798,0.64105,0.93691,0.87102,0.87356,0.92468,0.76526,0.69689,0.63213,0.88934,0.0098679,0.0098679,0.0098679
13,1019.48,0.70973,0.62598,0.92813,0.88029,0.88659,0.91489,0.76191,0.70008,0.62219,0.88557,0.00984292,0.00984292,0.00984292
14,1096.37,0.69662,0.59375,0.92295,0.82673,0.8854,0.89199,0.75215,0.68042,0.63057,0.89551,0.00981581,0.00981581,0.00981581
15,1173.12,0.67877,0.58615,0.91744,0.87578,0.8951,0.92416,0.779,0.66344,0.60093,0.87456,0.0097866,0.0097866,0.0097866
16,1249.92,0.67402,0.57156,0.91553,0.87252,0.89892,0.92403,0.77576,0.64096,0.55803,0.86919,0.00975529,0.00975529,0.00975529
17,1326.52,0.66764,0.56401,0.91521,0.88445,0.90034,0.9242,0.77769,0.65279,0.5809,0.8758,0.00972188,0.00972188,0.00972188
18,1402.63,0.64872,0.54628,0.90646,0.86464,0.90891,0.91342,0.76368,0.68363,0.58302,0.87876,0.00968641,0.00968641,0.00968641
19,1479.28,0.64341,0.53519,0.90532,0.86748,0.90316,0.91744,0.78333,0.62241,0.56432,0.86742,0.00964889,0.00964889,0.00964889
20,1556.23,0.62832,0.51646,0.9001,0.87459,0.9088,0.93206,0.78706,0.6449,0.54698,0.85848,0.00960932,0.00960932,0.00960932
