Timestamp (s),Detected Name,"Position (x, y, width, height)"
0000.00,Keir Starmer,"(x=1638, y=1005, width=205, height=27)"
0000.80,Keir Starmer,"(x=1519, y=1005, width=205, height=27)"
0001.60,Keir Starmer,"(x=1400, y=1005, width=205, height=27)"
0002.40,Keir Starmer,"(x=1281, y=1005, width=205, height=27)"
0002.40,Donald Tru,"(x=1739, y=1005, width=177, height=27)"
0003.20,Keir Starmer,"(x=1162, y=1004, width=204, height=28)"
0003.20,Donald Trump,"(x=1620, y=1004, width=232, height=36)"
0004.00,Keir Starmer,"(x=1043, y=1005, width=204, height=27)"
0004.00,Donald Trump,"(x=1501, y=1004, width=231, height=36)"
0004.80,Keir Starmer,"(x=924, y=1005, width=205, height=28)"
0004.80,Donald Trump,"(x=1382, y=1004, width=232, height=36)"
0005.60,Keir Starmer,"(x=806, y=1005, width=204, height=27)"
0005.60,Donald Trump,"(x=1263, y=1005, width=232, height=35)"
0006.40,Starmer,"(x=757, y=1005, width=134, height=27)"
0006.40,Donald Trump,"(x=1144, y=1004, width=232, height=35)"
0008.80,sky .com,"(x=90, y=993, width=281, height=53)"
0043.20,sky .com USS,"(x=90, y=993, width=924, height=53)"
