Timestamp (s),Detected Name,"Position (x, y, width, height)"
0.0,Keir Starmer,"(x=1638, y=1005, width=205, height=27)"
0.8,Keir Starmer,"(x=1519, y=1005, width=205, height=27)"
1.6,Keir Starmer,"(x=1400, y=1005, width=205, height=27)"
2.4,Keir Starmer,"(x=1281, y=1005, width=205, height=27)"
2.4,Donald Tru,"(x=1739, y=1005, width=177, height=27)"
3.2,Keir Starmer,"(x=1162, y=1004, width=204, height=28)"
3.2,Donald Trump,"(x=1620, y=1004, width=232, height=36)"
4.0,Keir Starmer,"(x=1043, y=1005, width=204, height=27)"
4.0,Donald Trump,"(x=1501, y=1004, width=231, height=36)"
4.8,Keir Starmer,"(x=924, y=1005, width=205, height=28)"
4.8,Donald Trump,"(x=1382, y=1004, width=232, height=36)"
5.6,Keir Starmer,"(x=806, y=1005, width=204, height=27)"
5.6,Donald Trump,"(x=1263, y=1005, width=232, height=35)"
6.4,Starmer,"(x=757, y=1005, width=134, height=27)"
6.4,Donald Trump,"(x=1144, y=1004, width=232, height=35)"
